simulation_id,assignment_method,reporting_method,iroas_estimate,iroas_lower,iroas_upper,ci_width,half_ci_width,significant
0,Random,MeanMatching,1.193120184912501,-2.7400917779127147,14.290024727361914,17.030116505274627,8.515058252637314,False
0,Random,GBR,0.0012796890268243026,-0.014593155034948974,0.016178919513437345,0.03077207454838632,0.01538603727419316,False
0,Random,TBR,0.03803165442679692,-0.15694075381799844,0.23300406267159227,0.3899448164895907,0.19497240824479534,False
0,Random,SCM,0.09657921880812263,-6.269008595255088,6.462167032871334,12.731175628126422,6.365587814063211,False
0,Random,STGCN,-0.6647974964117905,-0.5318379971294325,-0.7977569956941486,-0.2659189985647161,-0.13295949928235806,True
1,Random,MeanMatching,-7.070471698407781,-56.08099503972923,48.09122227337256,104.17221731310178,52.08610865655089,False
1,Random,GBR,-0.0028207479506041104,-0.014106018985081613,0.01339976551083269,0.0275057844959143,0.01375289224795715,False
1,Random,TBR,-0.3489386333488318,-1.6722584620378589,0.9743811953401952,2.646639657378054,1.323319828689027,False
1,Random,SCM,0.0008884175112589622,-1.6434139555505745,1.6451907905730923,3.2886047461236667,1.6443023730618334,False
1,Random,STGCN,-0.4046822490206908,-0.32374579921655267,-0.4856186988248289,-0.16187289960827622,-0.08093644980413811,True
2,Random,MeanMatching,2.2157451982051994,0.5793189940809936,8.775403400016407,8.196084405935412,4.098042202967706,True
2,Random,GBR,0.003260078188964749,-0.010678479881228012,0.01848956321967901,0.029168043100907023,0.014584021550453512,False
2,Random,TBR,0.06355444170108455,-0.0767569538408259,0.203865837242995,0.28062279108382093,0.14031139554191047,False
2,Random,SCM,0.011786178233328814,-0.7959778609875234,0.8195502174541811,1.6155280784417045,0.8077640392208523,False
2,Random,STGCN,0.7057092287475812,0.564567382998065,0.8468510744970975,0.28228369149903254,0.14114184574951627,True
3,Random,MeanMatching,-52.92437997850278,-72.42112094326373,386.98370328032615,459.4048242235899,229.70241211179496,False
3,Random,GBR,0.002720058519786768,-0.01096282367295334,0.018752938812095263,0.029715762485048605,0.014857881242524303,False
3,Random,TBR,-0.4474108068472213,-3.232940418350652,2.3381188046562094,5.571059223006861,2.7855296115034305,False
3,Random,SCM,-1.6928594282825993,-36.6690812389677,33.283362382402494,69.9524436213702,34.9762218106851,False
3,Random,STGCN,5.893468803322969,4.714775042658376,7.072162563987563,2.357387521329187,1.1786937606645935,True
4,Random,MeanMatching,0.4538321464500023,-6.52837027135382,12.415996813820966,18.944367085174786,9.472183542587393,False
4,Random,GBR,0.009646560379043318,-0.006655991283224214,0.02435590774216378,0.031011899025387996,0.015505949512693998,False
4,Random,TBR,0.25235013042179577,-0.032061230659089196,0.5367614915026808,0.56882272216177,0.284411361080885,False
4,Random,SCM,0.24272301102747268,-1.572216078330181,2.0576621003851265,3.6298781787153076,1.8149390893576538,False
4,Random,STGCN,-0.6400719263953367,-0.5120575411162694,-0.768086311674404,-0.25602877055813456,-0.12801438527906728,True
5,Random,MeanMatching,4.196187566127158,-31.460143224684415,18.528566996855847,49.98871022154026,24.99435511077013,False
5,Random,GBR,0.0036202251847548654,-0.011818908810782144,0.015373962858953935,0.02719287166973608,0.01359643583486804,False
5,Random,TBR,-0.24799320681574605,-0.6583015565529889,0.16231514292149687,0.8206166994744858,0.4103083497372429,False
5,Random,SCM,-0.03282308374594512,-1.5230380712468785,1.4573919037549883,2.980429975001867,1.4902149875009334,False
5,Random,STGCN,0.33814429697716925,0.2705154375817354,0.4057731563726031,0.13525771879086768,0.06762885939543384,True
6,Random,MeanMatching,-2.9773688601778154,-37.63416713438888,15.209976884720353,52.84414401910924,26.42207200955462,False
6,Random,GBR,-0.008456196646393516,-0.02602058841183209,0.009608082871206682,0.035628671283038774,0.017814335641519387,False
6,Random,TBR,0.31041549302328086,-0.16700945704490744,0.7878404430914692,0.9548499001363766,0.4774249500681883,False
6,Random,SCM,1.0261510521877628,-2.7065615860469325,4.758863690422458,7.46542527646939,3.732712638234695,False
6,Random,STGCN,3.7680524409487752,3.0144419527590203,4.52166292913853,1.5072209763795095,0.7536104881897547,True
7,Random,MeanMatching,-0.043903353375037674,-1.0810252177012503,1.2463379407959079,2.327363158497158,1.163681579248579,False
7,Random,GBR,0.010942082996922859,-0.002262666853994371,0.02469694102701675,0.02695960788101112,0.01347980394050556,False
7,Random,TBR,-0.14145411566413366,-0.2634486182523564,-0.019459613075910952,0.24398900517644542,0.12199450258822271,True
7,Random,SCM,-0.1484644475031243,-101.16244284743146,100.8655139524252,202.02795679985667,101.01397839992833,False
7,Random,STGCN,23.314962041359838,18.65196963308787,27.977954449631806,9.325984816543937,4.662992408271968,True
8,Random,MeanMatching,-0.6887019039307686,-13.874865740117896,3.532924348898207,17.407790089016103,8.703895044508052,False
8,Random,GBR,0.009328715636876952,-0.002179179363277987,0.022516971489836016,0.024696150853114003,0.012348075426557002,False
8,Random,TBR,-0.18317164555982454,-0.45657565439371334,0.09023236327406421,0.5468080176677775,0.27340400883388877,False
8,Random,SCM,-0.11425894355365133,-3.7963212875388908,3.5678034004315884,7.364124687970479,3.6820623439852396,False
8,Random,STGCN,4.159913884032869,3.327931107226295,4.991896660839442,1.6639655536131475,0.8319827768065737,True
9,Random,MeanMatching,0.22860920250557315,-0.30486666898166304,1.2054888681675833,1.5103555371492463,0.7551777685746232,False
9,Random,GBR,-0.00864625914439002,-0.020942033362030314,0.006238406478847253,0.027180439840877566,0.013590219920438783,False
9,Random,TBR,-0.019189177680080383,-0.09200435615428536,0.0536260007941246,0.14563035694840995,0.07281517847420498,False
9,Random,SCM,-0.08635639441062287,-1.4336915047536865,1.2609787159324406,2.694670220686127,1.3473351103430635,False
9,Random,STGCN,-3.164418208492265,-2.5315345667938125,-3.797301850190718,-1.2657672833969054,-0.6328836416984527,True
10,Random,MeanMatching,2.9542973152369765,0.8186221512989235,31.78325375868365,30.964631607384725,15.482315803692362,True
10,Random,GBR,-0.005307284164575509,-0.02118139350867518,0.008620357951300651,0.029801751459975833,0.014900875729987917,False
10,Random,TBR,0.04310392172056811,-0.1469448135560484,0.23315265699718463,0.38009747055323306,0.19004873527661653,False
10,Random,SCM,-0.07043023874146942,-1.2679558951554202,1.1270954176724812,2.3950513128279014,1.1975256564139507,False
10,Random,STGCN,-1.8400941025055075,-1.472075282004406,-2.2081129230066088,-0.7360376410022027,-0.36801882050110135,True
11,Random,MeanMatching,3.6521204485394367,-27.205006447845165,25.47797524448236,52.68298169232752,26.34149084616376,False
11,Random,GBR,0.006955409937288044,-0.010366859981468227,0.02295221777575351,0.03331907775722174,0.01665953887861087,False
11,Random,TBR,-0.6995750076144621,-2.196085840789428,0.7969358255605039,2.993021666349932,1.496510833174966,False
11,Random,SCM,-0.7393455542761997,-2.3079216106975204,0.829230502145121,3.1371521128426414,1.5685760564213207,False
11,Random,STGCN,-2.572745227577099,-2.058196182061679,-3.0872942730925184,-1.0290980910308392,-0.5145490455154196,True
12,Random,MeanMatching,-1.0884085974721378,-23.00227821568923,36.805493218843665,59.807771434532896,29.903885717266448,False
12,Random,GBR,-0.0026416928213641973,-0.0183171649886575,0.011507222208370804,0.029824387197028304,0.014912193598514152,False
12,Random,TBR,0.0690173689321894,-0.3058268235236792,0.44386156138805805,0.7496883849117373,0.37484419245586864,False
12,Random,SCM,0.3108752751560993,-1.265975825901733,1.8877263762139316,3.1537022021156647,1.5768511010578323,False
12,Random,STGCN,14.370793849612365,11.496635079689893,17.24495261953484,5.748317539844946,2.874158769922473,True
13,Random,MeanMatching,0.2817289657436273,-5.212813443181957,8.653265684541108,13.866079127723065,6.9330395638615325,False
13,Random,GBR,-0.012561261002917398,-0.021664729526900794,0.0029475438290511883,0.024612273355951984,0.012306136677975992,False
13,Random,TBR,-0.28407817403680796,-0.495655778117118,-0.07250056995649799,0.42315520816061997,0.21157760408030998,True
13,Random,SCM,-0.21941514661884315,-11.091287145496754,10.652456852259068,21.74374399775582,10.87187199887791,False
13,Random,STGCN,-1.3657656245306007,-1.0926124996244806,-1.6389187494367208,-0.5463062498122402,-0.2731531249061201,True
14,Random,MeanMatching,-1.5026947152775687,-7.518764074516054,-0.17049450242878061,7.348269572087273,3.6741347860436364,True
14,Random,GBR,0.0066845880539848496,-0.007899535767506589,0.021002570184728613,0.0289021059522352,0.0144510529761176,False
14,Random,TBR,-0.07834328371924076,-0.22553507994900676,0.0688485125105252,0.29438359245953194,0.14719179622976597,False
14,Random,SCM,-0.12963092220472627,-17.74185491410448,17.482593069695028,35.22444798379951,17.612223991899754,False
14,Random,STGCN,-3.4713782510878852,-2.7771026008703084,-4.165653901305462,-1.3885513004351537,-0.6942756502175769,True
15,Random,MeanMatching,1.7248270808000932,-3.095373269809256,22.013922295250538,25.109295565059796,12.554647782529898,False
15,Random,GBR,0.0063465028339948085,-0.007890075082362788,0.024121176850735258,0.03201125193309805,0.016005625966549024,False
15,Random,TBR,-0.3330103286245919,-0.6297009045789727,-0.03631975267021115,0.5933811519087615,0.29669057595438075,True
15,Random,SCM,-0.3411589591008172,-27.646934952172856,26.964617033971223,54.61155198614408,27.30577599307204,False
15,Random,STGCN,-1.8329390505569503,-1.4663512404455603,-2.1995268606683402,-0.7331756202227799,-0.36658781011138997,True
16,Random,MeanMatching,-21.69310875640881,-95.09151777620025,162.05388500580744,257.1454027820077,128.57270139100385,False
16,Random,GBR,-0.0031835638821053197,-0.012543754042182402,0.00783026272424776,0.020374016766430164,0.010187008383215082,False
16,Random,TBR,-0.2935099189758146,-1.156843002569746,0.5698231646181169,1.726666167187863,0.8633330835939315,False
16,Random,SCM,-0.2829645740439359,-7.751563966704769,7.185634818616897,14.937198785321666,7.468599392660833,False
16,Random,STGCN,0.4718338195166465,0.3774670556133172,0.5662005834199758,0.18873352780665859,0.09436676390332929,True
17,Random,MeanMatching,5.970508185506719,-60.76472059820189,17.1351940334368,77.8999146316387,38.94995731581935,False
17,Random,GBR,-0.010705552735323027,-0.02755786780453253,0.00426193303992836,0.03181980084446089,0.015909900422230446,False
17,Random,TBR,-0.8440560043318458,-1.8032659182875392,0.11515390962384783,1.918419827911387,0.9592099139556935,False
17,Random,SCM,-1.4847612774938959,-5.521485043315317,2.5519624883275247,8.073447531642842,4.036723765821421,False
17,Random,STGCN,-0.49152982421485897,-0.3932238593718872,-0.5898357890578307,-0.19661192968594354,-0.09830596484297177,True
