simulation_id,assignment_method,reporting_method,iroas_estimate,iroas_lower,iroas_upper,ci_width,half_ci_width,significant
0,Random,MeanMatching,0.5116084313907887,-0.4376772320581144,2.246758623066154,2.6844358551242684,1.3422179275621342,False
0,Random,GBR,-0.00907352615313739,-0.041178950548827406,0.021784288109299818,0.06296323865812722,0.03148161932906361,False
0,Random,TBR,0.006687130300060737,-0.08782249442774509,0.10119675502786657,0.18901924945561166,0.09450962472780583,False
0,Random,SCM,0.016568267544480736,-4.861147461224216,4.894283996313178,9.755431457537394,4.877715728768697,False
0,Random,STGCN,18.486749912354586,14.78939992988367,22.184099894825504,7.394699964941834,3.697349982470917,True
1,Random,MeanMatching,-2.1567122406934547,-6.099429000836269,-0.7625834583018923,5.336845542534376,2.668422771267188,True
1,Random,GBR,-0.018730878825843313,-0.04808230012677374,0.0022984713140347954,0.05038077144080853,0.025190385720404267,False
1,Random,TBR,0.15304836452408982,0.010584375449980032,0.2955123535981996,0.2849279781482196,0.1424639890741098,True
1,Random,SCM,0.04890567096995244,-5.967274626674352,6.065085968614256,12.032360595288608,6.016180297644304,False
1,Random,STGCN,-1.7310320078280694,-1.3848256062624555,-2.0772384093936833,-0.6924128031312278,-0.3462064015656139,True
2,Random,MeanMatching,4.2761642183864845,1.190874398120586,13.16129804304722,11.970423644926633,5.985211822463317,True
2,Random,GBR,0.018702197211761296,-0.016277361067128772,0.04658574826953416,0.06286310933666293,0.03143155466833147,False
2,Random,TBR,-0.18468969484459785,-0.4511893014374715,0.08180991174827575,0.5329992131857473,0.26649960659287364,False
2,Random,SCM,-0.313629105244396,-1.672277613474356,1.045019402985564,2.71729701645992,1.35864850822996,False
2,Random,STGCN,-10.237970799960666,-8.190376639968532,-12.285564959952799,-4.095188319984267,-2.0475941599921335,True
3,Random,MeanMatching,1.856458210344973,-0.045437961933734755,21.579225830732508,21.624663792666244,10.812331896333122,False
3,Random,GBR,-0.010995991983142264,-0.03470795681983767,0.00419934404028443,0.0389073008601221,0.01945365043006105,False
3,Random,TBR,0.0815031328154892,-0.10865971596275713,0.2716659815937355,0.38032569755649265,0.19016284877824632,False
3,Random,SCM,0.12760465837240437,-0.883887734510459,1.1390970512552678,2.022984785765727,1.0114923928828634,False
3,Random,STGCN,2.8315713256159314,2.265257060492745,3.3978855907391177,1.1326285302463726,0.5663142651231863,True
4,Random,MeanMatching,-0.0586952268982329,-3.1910607575601873,11.288918869539888,14.479979627100075,7.239989813550038,False
4,Random,GBR,0.0022316217138208293,-0.020358811235232713,0.038896618553219534,0.059255429788452246,0.029627714894226123,False
4,Random,TBR,0.16214337760261663,-0.31928020563894394,0.6435669608441772,0.9628471664831211,0.48142358324156054,False
4,Random,SCM,0.3019327974994702,-95.75216552473138,96.35603111973033,192.1081966444617,96.05409832223086,False
4,Random,STGCN,-9.96693257022381,-7.973546056179048,-11.960319084268571,-3.986773028089523,-1.9933865140447615,True
5,Random,MeanMatching,2.158806812427093,-9.762119672945238,26.77150406037769,36.533623733322926,18.266811866661463,False
5,Random,GBR,0.004861415243630134,-0.013965783639014531,0.02631036107277079,0.040276144711785325,0.020138072355892662,False
5,Random,TBR,0.12294231538950855,-0.6815933198396485,0.9274779506186657,1.609071270458314,0.804535635229157,False
5,Random,SCM,-0.27864328073929995,-1.0797499818588645,0.5224634203802645,1.602213402239129,0.8011067011195645,False
5,Random,STGCN,-4.712445084919264,-3.7699560679354116,-5.654934101903117,-1.8849780339677054,-0.9424890169838527,True
6,Random,MeanMatching,-9.365123706373597,-107.69476961951877,69.8841671263132,177.57893674583198,88.78946837291599,False
6,Random,GBR,-0.024100441435747258,-0.047854233571257176,-0.0011935412082808956,0.04666069236297628,0.02333034618148814,True
6,Random,TBR,-1.1796529479330837,-1.8323717961378596,-0.5269340997283082,1.3054376964095513,0.6527188482047757,True
6,Random,SCM,-1.12486143393911,-2.1396091425867256,-0.11011372529149432,2.029495417295231,1.0147477086476155,True
6,Random,STGCN,0.8037095293971258,0.6429676235177006,0.964451435276551,0.3214838117588503,0.16074190587942516,True
7,Random,MeanMatching,-0.5719530635948104,-5.933407781401991,23.685159808154886,29.618567589556875,14.809283794778437,False
7,Random,GBR,0.003759612617874808,-0.022276650462156187,0.025636772290784447,0.04791342275294064,0.02395671137647032,False
7,Random,TBR,-0.0105906005123988,-0.37023405200819015,0.3490528509833925,0.7192869029915827,0.35964345149579136,False
7,Random,SCM,0.05800835142460071,-8.620321610384027,8.736338313233228,17.356659923617254,8.678329961808627,False
7,Random,STGCN,-0.26475212124238745,-0.21180169699390997,-0.3177025454908649,-0.10590084849695494,-0.05295042424847747,True
8,Random,MeanMatching,-5.298014965299429,-135.04686553100046,25.12213661634035,160.16900214734082,80.08450107367041,False
8,Random,GBR,0.00012659110737425752,-0.015372006547866445,0.027043046647758865,0.04241505319562531,0.021207526597812654,False
8,Random,TBR,-0.014065972801503176,-0.41337080999468473,0.3852388643916784,0.7986096743863631,0.39930483719318155,False
8,Random,SCM,0.01605060814912856,-16.701401902167273,16.73350311846553,33.434905020632804,16.717452510316402,False
8,Random,STGCN,-1.8740360555596614,-1.499228844447729,-2.2488432666715936,-0.7496144222238645,-0.37480721111193227,True
9,Random,MeanMatching,-9.961058632413625,-75.44376572121533,21.76495503480668,97.208720756022,48.604360378011,False
9,Random,GBR,-0.0013692434284734828,-0.0241602610255318,0.02513307781887942,0.04929333884441122,0.02464666942220561,False
9,Random,TBR,-0.3705268546387311,-2.0361681896109305,1.2951144803334682,3.3312826699443985,1.6656413349721992,False
